Tick,RunF64,RunF32,RunI64,RunI32
M:40 N:29,0.00030118,0.00029701,0.00029812,0.00029238
M:40 N:30,0.00031168,0.00031175,0.00032692,0.00030613
M:40 N:31,0.00033001,0.00032572,0.00031352,0.00031801
M:40 N:32,0.00034507,0.00032886,0.00032307,0.00032963
M:40 N:33,0.00038996,0.0003503,0.00034408,0.00038134
M:40 N:34,0.00035877,0.00038423,0.00035505,0.00034884
M:40 N:35,0.00036421,0.00036113,0.00039314,0.00036206
M:40 N:36,0.00039552,0.00039797,0.00037782,0.00035823
M:40 N:37,0.00041292,0.00040064,0.0003699,0.00037197
M:40 N:38,0.0004285,0.00040559,0.00040419,0.00039282
M:40 N:39,0.00040953,0.00040871,0.00045333,0.00039063
M:40 N:40,0.00043909,0.00042517,0.00041232,0.00040714
M:41 N:1,1.73e-05,1.887e-05,2.004e-05,1.715e-05
M:41 N:2,2.784e-05,2.833e-05,2.854e-05,2.799e-05
M:41 N:3,3.861e-05,4.287e-05,3.778e-05,3.798e-05
M:41 N:4,4.933e-05,5.048e-05,5.147e-05,4.78e-05
M:41 N:5,6.064e-05,6.019e-05,6.136e-05,6.576e-05
M:41 N:6,7.097e-05,7.327e-05,6.967e-05,7.023e-05
M:41 N:7,8.251e-05,8.308e-05,8.022e-05,7.895e-05
M:41 N:8,9.289e-05,9.455e-05,9.116e-05,8.863e-05
M:41 N:9,0.00010336,0.00010145,0.00010282,0.00010158
M:41 N:10,0.00011547,0.00011371,0.00011098,0.00011115
M:41 N:11,0.00013711,0.00012464,0.00012164,0.00012011
M:41 N:12,0.00013672,0.00013508,0.00014302,0.00012968
M:41 N:13,0.00014645,0.0001575,0.00014062,0.00014093
M:41 N:14,0.00015597,0.00015642,0.00015078,0.00015122
M:41 N:15,0.00017043,0.00016608,0.00016142,0.00015928
M:41 N:16,0.00017934,0.00017654,0.00017527,0.0001758
M:41 N:17,0.00019174,0.0001929,0.00018515,0.0001834
M:41 N:18,0.00020084,0.0001977,0.00019227,0.00019683
M:41 N:19,0.00022932,0.00022027,0.0002155,0.00021405
M:41 N:20,0.0002224,0.00023274,0.00022679,0.00022706
M:41 N:21,0.00023038,0.0002557,0.00024448,0.00022659
M:41 N:22,0.00024583,0.00024147,0.00023322,0.00023094
M:41 N:23,0.00025585,0.00024966,0.00024797,0.00024841
M:41 N:24,0.00027167,0.00026767,0.00025772,0.00025833
M:41 N:25,0.00029294,0.00027221,0.00026735,0.00026786
M:41 N:26,0.00028601,0.00028493,0.00027987,0.00028687
M:41 N:27,0.00029994,0.00029719,0.00028806,0.00028495
M:41 N:28,0.00030911,0.00030508,0.00029608,0.00029519
M:41 N:29,0.00032387,0.00031998,0.00032033,0.00030422
M:41 N:30,0.00033286,0.00032946,0.00031769,0.00031688
M:41 N:31,0.00034464,0.00033618,0.00032846,0.00032996
M:41 N:32,0.00039645,0.00034649,0.00033689,0.00033979
M:41 N:33,0.00037466,0.00037013,0.00036141,0.00035836
M:41 N:34,0.00037298,0.00036278,0.00038188,0.00040521
M:41 N:35,0.00038568,0.00038202,0.00036994,0.00036803
M:41 N:36,0.00039135,0.0003869,0.00039001,0.0003795
M:41 N:37,0.00040547,0.00041075,0.00039354,0.00039231
M:41 N:38,0.00043148,0.0004221,0.0004131,0.00040974
M:41 N:39,0.00042507,0.00044701,0.00043996,0.00042898
M:41 N:40,0.00049961,0.00046846,0.00043092,0.00043074
M:41 N:41,0.00046251,0.000441,0.0004621,0.0004723
M:42 N:1,1.915e-05,1.942e-05,2.239e-05,1.849e-05
M:42 N:2,2.989e-05,3.129e-05,3.135e-05,2.83e-05
M:42 N:3,4.456e-05,4.166e-05,4.116e-05,3.95e-05
M:42 N:4,5.5e-05,5.364e-05,5.524e-05,5.204e-05
M:42 N:5,6.309e-05,6.849e-05,6.389e-05,6.146e-05
M:42 N:6,7.431e-05,7.475e-05,7.688e-05,7.247e-05
M:42 N:7,8.513e-05,8.532e-05,8.478e-05,8.511e-05
M:42 N:8,9.721e-05,9.561e-05,9.591e-05,9.506e-05
M:42 N:9,0.00010907,0.00010967,0.00010395,0.00010642
M:42 N:10,0.00011884,0.00011661,0.00011743,0.00011421
M:42 N:11,0.00012876,0.00012996,0.00012589,0.00012484
M:42 N:12,0.00014771,0.00014542,0.00015264,0.00014065
M:42 N:13,0.00016153,0.0001591,0.0001495,0.00014603
M:42 N:14,0.00016357,0.0001643,0.00015869,0.00015797
M:42 N:15,0.0001773,0.00017666,0.00017623,0.00017207
M:42 N:16,0.00018474,0.00018199,0.00018054,0.00018187
M:42 N:17,0.00019952,0.00019436,0.00019218,0.00018839
M:42 N:18,0.00021827,0.00020945,0.00020415,0.00020107
M:42 N:19,0.00023427,0.0002287,0.00022754,0.00022664
M:42 N:20,0.00024069,0.0002458,0.00023755,0.0002357
M:42 N:21,0.00024366,0.00024002,0.0002369,0.0002328
M:42 N:22,0.00025826,0.00025434,0.0002493,0.0002431
M:42 N:23,0.00026684,0.00026152,0.00026211,0.00025696
M:42 N:24,0.00027702,0.00027507,0.0002737,0.00026618
M:42 N:25,0.00028862,0.00028258,0.00028356,0.00028523
M:42 N:26,0.00029847,0.00029352,0.00029423,0.00031059
M:42 N:27,0.00033131,0.00031211,0.00031542,0.00030641
M:42 N:28,0.00042211,0.00032945,0.00032594,0.00032478
M:42 N:29,0.00033367,0.00034141,0.00033255,0.000328
