Tick,RunF64,RunF32,RunI64,RunI32
M:37 N:17,2.731e-05,2.7e-05,2.391e-05,2.837e-05
M:37 N:18,2.883e-05,4.508e-05,2.974e-05,3.135e-05
M:37 N:19,3.184e-05,3.051e-05,2.814e-05,3.226e-05
M:37 N:20,3.351e-05,3.67e-05,2.792e-05,3.422e-05
M:37 N:21,3.357e-05,3.327e-05,2.926e-05,3.569e-05
M:37 N:22,3.746e-05,3.774e-05,3.58e-05,3.566e-05
M:37 N:23,3.608e-05,3.56e-05,3.116e-05,4.384e-05
M:37 N:24,4.969e-05,3.969e-05,4.183e-05,3.873e-05
M:37 N:25,4.095e-05,4.124e-05,3.476e-05,4.119e-05
M:37 N:26,4.247e-05,4.023e-05,3.51e-05,4.07e-05
M:37 N:27,4.256e-05,4.391e-05,3.619e-05,4.765e-05
M:37 N:28,4.686e-05,4.331e-05,3.824e-05,4.366e-05
M:37 N:29,4.669e-05,4.516e-05,3.919e-05,4.532e-05
M:37 N:30,4.774e-05,4.702e-05,4.036e-05,4.692e-05
M:37 N:31,4.994e-05,5.075e-05,4.188e-05,4.844e-05
M:37 N:32,5.225e-05,5.07e-05,4.407e-05,4.968e-05
M:37 N:33,5.315e-05,5.237e-05,5.095e-05,5.723e-05
M:37 N:34,6.216e-05,5.991e-05,5.247e-05,6.04e-05
M:37 N:35,6.199e-05,6.52e-05,5.434e-05,6.669e-05
M:37 N:36,7.179e-05,6.707e-05,5.859e-05,6.5e-05
M:37 N:37,6.533e-05,6.435e-05,5.628e-05,6.739e-05
M:38 N:1,4.55e-06,4.34e-06,5.59e-06,5.54e-06
M:38 N:2,5.98e-06,6.03e-06,6.26e-06,7.98e-06
M:38 N:3,7.8e-06,7.88e-06,7.53e-06,9.47e-06
M:38 N:4,8.99e-06,9.24e-06,9.02e-06,1.056e-05
M:38 N:5,1.003e-05,1.003e-05,1.008e-05,1.193e-05
M:38 N:6,1.16e-05,1.173e-05,1.136e-05,1.516e-05
M:38 N:7,1.315e-05,1.295e-05,1.242e-05,1.496e-05
M:38 N:8,1.453e-05,1.464e-05,1.374e-05,1.641e-05
M:38 N:9,1.596e-05,1.599e-05,1.489e-05,1.793e-05
M:38 N:10,1.784e-05,2.073e-05,1.671e-05,1.955e-05
M:38 N:11,1.92e-05,1.91e-05,1.74e-05,2.096e-05
M:38 N:12,2.064e-05,2.072e-05,1.871e-05,2.216e-05
M:38 N:13,2.209e-05,2.198e-05,1.996e-05,2.358e-05
M:38 N:14,2.419e-05,2.379e-05,2.157e-05,2.539e-05
M:38 N:15,2.523e-05,2.544e-05,2.289e-05,2.713e-05
M:38 N:16,2.69e-05,2.687e-05,2.427e-05,2.844e-05
M:38 N:17,2.822e-05,2.875e-05,2.576e-05,3.004e-05
M:38 N:18,3.059e-05,3.094e-05,2.746e-05,3.152e-05
M:38 N:19,3.198e-05,3.222e-05,2.81e-05,3.322e-05
M:38 N:20,3.486e-05,3.442e-05,2.954e-05,3.445e-05
